date,temperature_2m,relative_humidity_2m,precipitation,surface_pressure,cloud_cover,wind_speed_80m,wind_direction_80m,wind_gusts_10m,location
2026-08-02 22:00:00+00:00,15.1045,83.0,0.0,1018.57153,25.0,17.844318,276.77557,17.64,Aalborg
2026-08-02 23:00:00+00:00,14.6545,85.0,0.0,1018.4694,41.0,17.600298,274.57382,17.64,Aalborg
2026-08-03 00:00:00+00:00,14.054501,89.0,0.0,1018.2668,78.0,16.495323,268.78116,15.119999,Aalborg
2026-08-03 01:00:00+00:00,13.304501,89.0,0.0,1018.463,97.0,15.124728,266.00916,10.799999,Aalborg
2026-08-03 02:00:00+00:00,12.7045,89.0,0.0,1018.36066,99.0,14.046357,260.6554,8.28,Aalborg
2026-08-03 03:00:00+00:00,12.4045,88.0,0.0,1018.05945,100.0,13.861065,269.27478,9.0,Aalborg
2026-08-03 04:00:00+00:00,12.4545,88.0,0.0,1018.2595,67.0,11.579203,270.0,8.64,Aalborg
2026-08-03 05:00:00+00:00,12.9045,86.0,0.0,1018.56134,82.0,9.730336,244.35904,8.28,Aalborg
2026-08-03 06:00:00+00:00,13.7545,77.0,0.0,1018.56525,85.0,8.907917,237.87503,11.879999,Aalborg
2026-08-03 07:00:00+00:00,14.554501,72.0,0.0,1018.6688,92.0,6.87815,264.14407,13.32,Aalborg
2026-08-03 08:00:00+00:00,16.2545,69.0,0.0,1018.87634,98.0,6.9869285,298.49554,14.04,Aalborg
2026-08-03 09:00:00+00:00,17.7545,69.0,0.0,1018.98285,96.0,4.2433867,299.74478,14.04,Aalborg
2026-08-03 10:00:00+00:00,18.904501,65.0,0.0,1019.18805,83.0,2.280752,270.0,13.679999,Aalborg
2026-08-03 11:00:00+00:00,20.154501,59.0,0.0,1018.99365,88.0,3.063971,246.3706,14.759999,Aalborg
2026-08-03 12:00:00+00:00,21.0045,54.0,0.0,1018.2984,75.0,0.7233678,194.03627,15.119999,Aalborg
2026-08-03 13:00:00+00:00,21.6045,49.0,0.0,1017.80164,63.0,0.7846026,153.43501,14.759999,Aalborg
2026-08-03 14:00:00+00:00,22.0045,46.0,0.0,1017.50397,64.0,1.0229965,210.96368,15.84,Aalborg
2026-08-03 15:00:00+00:00,22.5045,44.0,0.0,1016.9069,48.0,1.6174996,192.5288,21.96,Aalborg
2026-08-03 16:00:00+00:00,23.1045,43.0,0.0,1016.50995,54.0,2.481131,135.0001,21.96,Aalborg
2026-08-03 17:00:00+00:00,22.1045,45.0,0.0,1016.2059,35.0,8.883697,80.909805,19.08,Aalborg
2026-08-03 18:00:00+00:00,21.5045,51.0,0.0,1015.9037,41.0,10.2974415,98.820305,17.28,Aalborg
2026-08-03 19:00:00+00:00,20.1045,59.0,0.0,1016.09717,63.0,7.21877,115.94224,17.64,Aalborg
2026-08-03 20:00:00+00:00,18.5545,65.0,0.0,1016.2901,65.0,7.695507,136.8476,14.4,Aalborg
2026-08-03 21:00:00+00:00,17.8045,72.0,0.0,1016.3866,94.0,8.187732,135.0001,11.879999,Aalborg
2026-08-03 22:00:00+00:00,17.4545,75.0,0.0,1016.48474,76.0,10.4473,130.91429,10.799999,Aalborg
2026-08-03 23:00:00+00:00,16.7545,81.0,0.0,1016.28186,15.0,15.814168,130.04967,10.799999,Aalborg
2026-08-04 00:00:00+00:00,15.7045,87.0,0.0,1015.7778,1.0,16.442993,129.80553,10.440001,Aalborg
2026-08-04 01:00:00+00:00,15.2545,89.0,0.0,1015.3764,29.0,16.30105,124.03217,9.72,Aalborg
2026-08-04 02:00:00+00:00,15.7045,88.0,0.0,1015.37836,90.0,17.73271,117.072,12.599999,Aalborg
2026-08-04 03:00:00+00:00,15.9545,85.0,0.0,1014.98004,97.0,20.574697,114.16091,15.84,Aalborg
2026-08-04 04:00:00+00:00,15.804501,86.0,0.0,1014.7797,100.0,22.04789,116.97276,16.199999,Aalborg
2026-08-04 05:00:00+00:00,16.404501,84.0,0.0,1014.5825,99.0,22.056263,114.93427,16.56,Aalborg
2026-08-04 06:00:00+00:00,17.8045,79.0,0.0,1014.5889,98.0,23.336485,113.48141,21.599998,Aalborg
2026-08-04 07:00:00+00:00,19.3045,71.0,0.0,1014.5956,100.0,21.602232,110.93736,27.72,Aalborg
2026-08-04 08:00:00+00:00,20.8545,64.0,0.0,1014.5027,100.0,23.983698,110.55613,29.519999,Aalborg
2026-08-04 09:00:00+00:00,21.5545,51.0,0.0,1014.20624,88.0,28.324587,116.8824,37.44,Aalborg
2026-08-04 10:00:00+00:00,22.0545,51.0,0.0,1014.2081,97.0,31.901598,119.66662,39.6,Aalborg
2026-08-04 11:00:00+00:00,21.8545,53.0,0.0,1013.30865,96.0,29.670532,118.23182,41.399998,Aalborg
2026-08-04 12:00:00+00:00,22.404501,53.0,0.0,1012.61176,80.0,28.982544,113.927284,44.28,Aalborg
2026-08-04 13:00:00+00:00,22.7545,60.0,0.0,1011.91425,82.0,30.347488,108.539795,44.28,Aalborg
2026-08-04 14:00:00+00:00,23.2045,62.0,0.0,1011.0173,75.0,32.427917,103.13403,43.56,Aalborg
2026-08-04 15:00:00+00:00,23.9545,62.0,0.0,1010.3213,12.0,30.446218,117.45091,45.36,Aalborg
2026-08-04 16:00:00+00:00,24.1045,66.0,0.0,1009.9224,99.0,29.159887,111.16133,45.36,Aalborg
2026-08-04 17:00:00+00:00,23.904501,71.0,0.0,1009.5223,36.0,24.6726,113.466095,41.399998,Aalborg
2026-08-04 18:00:00+00:00,23.3045,73.0,0.0,1009.1203,42.0,24.577602,145.17545,36.719997,Aalborg
2026-08-04 19:00:00+00:00,22.5545,76.0,0.0,1008.7173,50.0,25.029312,153.79424,33.839996,Aalborg
2026-08-04 20:00:00+00:00,21.7545,78.0,0.0,1008.5141,95.0,30.005276,158.38516,30.239998,Aalborg
2026-08-04 21:00:00+00:00,21.3545,81.0,0.0,1008.31274,92.0,30.247929,163.14153,28.08,Aalborg
2026-08-04 22:00:00+00:00,21.154501,81.0,0.0,1008.51154,15.0,21.755573,180.46204,25.199999,Aalborg
